codProposicao,dataVotacao,nomeProposicao
14493,01/07/2015,PEC 171/1993
14493,01/07/2015,PEC 171/1993
14493,01/07/2015,PEC 171/1993
14493,01/07/2015,PEC 171/1993
14493,02/07/2015,PEC 171/1993
14493,19/08/2015,PEC 171/1993
14493,19/08/2015,PEC 171/1993
18180,20/08/2015,PL 2479/2000
18216,23/04/2015,PL 2505/2000
148200,20/10/2015,PEC 215/2003
148200,03/11/2015,PEC 215/2003
267841,08/04/2015,PL 4330/2004
267841,08/04/2015,PL 4330/2004
267841,14/04/2015,PL 4330/2004
267841,22/04/2015,PL 4330/2004
267841,22/04/2015,PL 4330/2004
270277,24/09/2015,PL 4474/2004
298878,04/03/2015,PEC 457/2005
298878,04/03/2015,PEC 457/2005
298878,04/03/2015,PEC 457/2005
298878,05/05/2015,PEC 457/2005
298878,05/05/2015,PEC 457/2005
298878,05/05/2015,PEC 457/2005
304008,26/08/2015,PEC 471/2005
339287,10/03/2015,PEC 590/2006
339287,24/03/2015,PEC 590/2006
339407,05/03/2015,PL 7699/2006
344866,01/09/2015,PLP 25/2007
344866,02/09/2015,PLP 25/2007
344866,02/09/2015,PLP 25/2007
344866,02/09/2015,PLP 25/2007
348730,25/03/2015,PL 789/2007
351362,26/08/2015,PL 1057/2007
372066,25/02/2015,PL 2211/2007
373327,26/05/2015,PEC 182/2007
373327,26/05/2015,PEC 182/2007
373327,26/05/2015,PEC 182/2007
373327,26/05/2015,PEC 182/2007
373327,27/05/2015,PEC 182/2007
373327,27/05/2015,PEC 182/2007
373327,27/05/2015,PEC 182/2007
373327,27/05/2015,PEC 182/2007
373327,28/05/2015,PEC 182/2007
373327,28/05/2015,PEC 182/2007
373327,28/05/2015,PEC 182/2007
373327,10/06/2015,PEC 182/2007
373327,10/06/2015,PEC 182/2007
373327,10/06/2015,PEC 182/2007
373327,10/06/2015,PEC 182/2007
373327,10/06/2015,PEC 182/2007
373327,11/06/2015,PEC 182/2007
373327,11/06/2015,PEC 182/2007
373327,11/06/2015,PEC 182/2007
373327,16/06/2015,PEC 182/2007
373327,16/06/2015,PEC 182/2007
373327,16/06/2015,PEC 182/2007
373327,16/06/2015,PEC 182/2007
373327,16/06/2015,PEC 182/2007
373327,16/06/2015,PEC 182/2007
373327,17/06/2015,PEC 182/2007
373327,17/06/2015,PEC 182/2007
373327,17/06/2015,PEC 182/2007
373327,07/07/2015,PEC 182/2007
373327,15/07/2015,PEC 182/2007
373327,15/07/2015,PEC 182/2007
373327,15/07/2015,PEC 182/2007
373327,15/07/2015,PEC 182/2007
373327,04/08/2015,PEC 182/2007
373327,12/08/2015,PEC 182/2007
388449,26/03/2015,PL 3131/2008
412728,25/03/2015,PL 4148/2008
412728,28/04/2015,PL 4148/2008
463155,04/08/2015,PEC 443/2009
463155,06/08/2015,PEC 443/2009
463155,06/08/2015,PEC 443/2009
463155,06/08/2015,PEC 443/2009
463155,11/08/2015,PEC 443/2009
526536,26/08/2015,PLP 106/2011
537900,31/03/2015,PL 3481/2012
537900,31/03/2015,PL 3481/2012
542838,10/03/2015,PL 3771/2012
544681,02/09/2015,PEC 172/2012
544681,02/09/2015,PEC 172/2012
544681,02/09/2015,PEC 172/2012
544681,22/09/2015,PEC 172/2012
544681,23/09/2015,PEC 172/2012
544681,23/09/2015,PEC 172/2012
544724,24/02/2015,PLP 177/2012
551712,03/02/2015,PEC 197/2012
552295,11/02/2015,PL 4246/2012
553947,30/09/2015,PEC 209/2012
571550,03/03/2015,REQ 7492/2013 => PL 4372/2012
578047,15/10/2015,PLP 278/2013
580148,14/07/2015,PL 5735/2013
580148,14/07/2015,PL 5735/2013
580148,14/07/2015,PL 5735/2013
580148,14/07/2015,PL 5735/2013
580148,14/07/2015,PL 5735/2013
580148,14/07/2015,PL 5735/2013
580148,09/09/2015,PL 5735/2013
580148,09/09/2015,PL 5735/2013
580148,09/09/2015,PL 5735/2013
580148,09/09/2015,PL 5735/2013
585608,12/03/2015,PLP 302/2013
585608,12/03/2015,PLP 302/2013
585608,17/03/2015,PLP 302/2013
585608,17/03/2015,PLP 302/2013
585608,17/03/2015,PLP 302/2013
585608,17/03/2015,PLP 302/2013
585608,17/03/2015,PLP 302/2013
585608,17/03/2015,PLP 302/2013
590796,07/04/2015,REQ 8530/2013 => PL 4330/2004
591830,19/03/2015,PDC 1287/2013
593856,20/10/2015,PL 6446/2013
593856,20/10/2015,PL 6446/2013
593856,20/10/2015,PL 6446/2013
600023,03/02/2015,PEC 352/2013
602599,05/02/2015,PDC 1410/2013
602633,10/02/2015,PEC 358/2013
602633,10/02/2015,PEC 358/2013
603566,10/09/2015,PLP 366/2013
603566,16/09/2015,PLP 366/2013
603566,16/09/2015,PLP 366/2013
603566,16/09/2015,PLP 366/2013
603566,16/09/2015,PLP 366/2013
611193,26/02/2015,REQ 9909/2014 => PL 5201/2013
611966,21/10/2015,PEC 395/2014
613662,17/03/2015,PL 7469/2014
613662,18/03/2015,PL 7469/2014
619150,10/02/2015,PL 7735/2014
619150,27/04/2015,PL 7735/2014
619150,27/04/2015,PL 7735/2014
622072,10/03/2015,PL 7924/2014
796341,07/04/2015,MPV 660/2014
796341,15/04/2015,MPV 660/2014
808898,09/04/2015,MPV 661/2014
808898,09/04/2015,MPV 661/2014
808898,09/04/2015,MPV 661/2014
818166,09/09/2015,REQ 10903/2014 => PL 1462/2007
860923,12/05/2015,MPV 663/2014
860923,12/05/2015,MPV 663/2014
860923,12/05/2015,MPV 663/2014
865929,13/05/2015,MPV 664/2014
865929,13/05/2015,MPV 664/2014
865929,13/05/2015,MPV 664/2014
865929,13/05/2015,MPV 664/2014
865929,13/05/2015,MPV 664/2014
865929,13/05/2015,MPV 664/2014
865929,14/05/2015,MPV 664/2014
865929,14/05/2015,MPV 664/2014
865929,14/05/2015,MPV 664/2014
865929,14/05/2015,MPV 664/2014
865929,14/05/2015,MPV 664/2014
865930,06/05/2015,MPV 665/2014
865930,06/05/2015,MPV 665/2014
865930,06/05/2015,MPV 665/2014
865930,06/05/2015,MPV 665/2014
865930,06/05/2015,MPV 665/2014
865930,06/05/2015,MPV 665/2014
865930,06/05/2015,MPV 665/2014
865930,07/05/2015,MPV 665/2014
865930,07/05/2015,MPV 665/2014
865930,07/05/2015,MPV 665/2014
865930,07/05/2015,MPV 665/2014
865930,07/05/2015,MPV 665/2014
865930,07/05/2015,MPV 665/2014
865930,07/05/2015,MPV 665/2014
865930,07/05/2015,MPV 665/2014
865930,07/05/2015,MPV 665/2014
944251,20/08/2015,PL 10/2015
944494,19/05/2015,MPV 668/2015
944494,19/05/2015,MPV 668/2015
944494,19/05/2015,MPV 668/2015
